n_mfcc,round,center_0_x,center_0_y,center_1_x,center_1_y,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
14,3,-54.446217,10.156905,-107.302216,7.61318,475,514,302,8,0.7613548883756736,0.6113256113256114,0.9834368530020704,0.6299019607843137,0.753968253968254
14,4,-53.44541,10.068936,-107.147545,7.7303686,473,525,290,9,0.7694680030840401,0.6199213630406291,0.9813278008298755,0.6441717791411042,0.7598393574297189
14,5,-54.84617,10.140372,-106.69332,8.015217,477,519,297,6,0.766743648960739,0.6162790697674418,0.9875776397515528,0.6360294117647058,0.7589498806682577
14,6,-54.699486,10.052527,-107.385666,7.6360817,476,513,303,7,0.7613548883756736,0.6110397946084724,0.9855072463768116,0.6286764705882353,0.7543581616481774
14,7,-53.69897,10.1263895,-105.78769,7.881863,478,545,271,4,0.788135593220339,0.6381842456608812,0.991701244813278,0.6678921568627451,0.776604386677498
14,8,-63.76826,9.196437,-75.07271,18.04974,472,599,217,11,0.8244803695150116,0.6850507982583455,0.9772256728778468,0.7340686274509803,0.8054607508532424
14,9,-54.522873,10.010689,-106.735306,7.6729846,473,520,296,10,0.7644341801385681,0.6150845253576073,0.979296066252588,0.6372549019607843,0.7555910543130991
15,0,-53.79424,10.094965,-106.331985,7.9213643,477,515,301,6,0.7636643571978445,0.6131105398457584,0.9875776397515528,0.6311274509803921,0.7565424266455194
15,1,-53.709015,10.215989,-106.78938,7.754098,477,532,283,6,0.7773497688751926,0.6276315789473684,0.9875776397515528,0.652760736196319,0.7674979887369267
15,2,-55.072525,10.131783,-107.914444,7.739373,473,501,314,10,0.7503852080123267,0.6010165184243964,0.979296066252588,0.6147239263803681,0.7448818897637796
15,3,-54.704807,10.1973715,-107.6283,7.8052416,476,536,279,7,0.7796610169491526,0.6304635761589404,0.9855072463768116,0.6576687116564417,0.7689822294022618
15,4,-64.16284,9.061268,-73.44686,19.245157,462,591,225,21,0.8106235565819861,0.6724890829694323,0.9565217391304348,0.7242647058823529,0.7897435897435898
15,5,-54.19921,10.139377,-105.06768,7.928366,477,545,271,6,0.7867590454195535,0.6377005347593583,0.9875776397515528,0.6678921568627451,0.7749796913078797
15,6,-54.98566,10.001751,-107.12009,7.9067006,476,499,317,7,0.7505773672055427,0.6002522068095839,0.9855072463768116,0.6115196078431373,0.7460815047021945
15,7,-53.27719,9.9924345,-106.171005,7.786957,476,528,288,7,0.7729022324865281,0.6230366492146597,0.9855072463768116,0.6470588235294118,0.7634322373696875
15,8,-53.374577,10.376188,-106.53392,7.978986,476,544,272,7,0.7852193995381063,0.6363636363636364,0.9855072463768116,0.6666666666666666,0.7733549959382615
15,9,-64.00788,9.169125,-74.09896,18.639423,464,601,215,18,0.8204930662557781,0.6833578792341679,0.9626556016597511,0.7365196078431373,0.7993109388458226
16,0,-54.735477,10.1536875,-106.87784,7.6327353,475,516,300,8,0.7628945342571208,0.6129032258064516,0.9834368530020704,0.6323529411764706,0.7551669316375199
16,1,-53.07669,10.206881,-106.00464,7.894768,475,529,287,7,0.773497688751926,0.6233595800524935,0.9854771784232366,0.6482843137254902,0.7636655948553055
16,2,-64.28443,9.05355,-73.51383,19.373466,468,584,232,15,0.8098537336412626,0.6685714285714286,0.968944099378882,0.7156862745098039,0.7912087912087912
16,3,-53.539715,10.144301,-106.46086,7.861569,470,533,282,13,0.7727272727272727,0.625,0.9730848861283644,0.6539877300613497,0.7611336032388663
16,4,-53.829605,10.166213,-107.00961,7.8678493,474,506,310,9,0.7544264819091608,0.6045918367346939,0.9813664596273292,0.6200980392156863,0.7482241515390686
16,5,-53.39654,10.152589,-106.37477,7.8553205,471,510,305,11,0.756360832690825,0.6069587628865979,0.9771784232365145,0.6257668711656442,0.7488076311605723
16,6,-52.80387,10.217315,-106.1165,7.7549367,473,517,298,10,0.7627118644067796,0.6134889753566797,0.979296066252588,0.6343558282208589,0.7543859649122807
16,7,-54.144653,10.250266,-107.18626,7.926697,478,518,298,5,0.766743648960739,0.615979381443299,0.989648033126294,0.6348039215686274,0.7593328038125496
16,8,-64.348465,9.097453,-75.98322,18.483871,467,602,214,16,0.8229407236335643,0.6857562408223201,0.9668737060041408,0.7377450980392157,0.802405498281787
16,9,-52.50993,10.143772,-104.68709,8.103412,474,529,286,9,0.7727272727272727,0.6236842105263158,0.9813664596273292,0.649079754601227,0.7626709573612229
17,0,-55.271923,10.094859,-107.38377,7.899708,475,504,312,8,0.7536566589684373,0.6035578144853876,0.9834368530020704,0.6176470588235294,0.7480314960629921
17,1,-54.649048,10.107424,-105.634926,7.949794,475,550,266,8,0.7890685142417244,0.6410256410256411,0.9834368530020704,0.6740196078431373,0.7761437908496732
17,2,-53.746696,10.018538,-106.23688,7.9195848,473,527,289,10,0.7698229407236336,0.6207349081364829,0.979296066252588,0.6458333333333334,0.7598393574297189
17,3,-53.9121,10.11996,-105.81761,8.025218,476,526,290,7,0.7713625866050808,0.6214099216710183,0.9855072463768116,0.6446078431372549,0.7622097678142514
17,4,-54.255276,10.149119,-106.06253,7.928058,473,547,268,10,0.785824345146379,0.6383265856950068,0.979296066252588,0.6711656441717792,0.772875816993464
17,5,-52.37239,10.377283,-105.64842,7.5552273,473,553,263,10,0.789838337182448,0.6426630434782609,0.979296066252588,0.6776960784313726,0.7760459392945037
17,6,-54.682693,10.172611,-106.296295,7.8793764,475,540,276,8,0.7813702848344881,0.6324900133155792,0.9834368530020704,0.6617647058823529,0.7698541329011346
17,7,-53.734222,10.134781,-106.57279,8.037897,476,537,279,6,0.7804314329738059,0.6304635761589404,0.9875518672199171,0.6580882352941176,0.7696038803556994
