n_mfcc,round,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
21,3,473,517,299,10,0.7621247113163973,0.6126943005181347,0.979296066252588,0.633578431372549,0.7537848605577688
21,4,465,581,235,17,0.8058551617873652,0.6642857142857143,0.9647302904564315,0.7120098039215687,0.7868020304568527
21,5,7,280,536,476,0.22093918398768284,0.01289134438305709,0.014492753623188406,0.3431372549019608,0.013645224171539962
21,6,10,289,527,473,0.23017705927636645,0.0186219739292365,0.020703933747412008,0.3541666666666667,0.019607843137254905
21,7,478,516,299,5,0.765793528505393,0.6151866151866152,0.989648033126294,0.6331288343558282,0.7587301587301588
21,8,10,267,549,473,0.2132409545804465,0.017889087656529516,0.020703933747412008,0.3272058823529412,0.019193857965451054
21,9,475,542,274,7,0.7835130970724191,0.6341789052069426,0.9854771784232366,0.6642156862745098,0.7717303005686434
22,1,478,525,291,5,0.7721324095458044,0.6215864759427828,0.989648033126294,0.6433823529411765,0.7635782747603834
22,2,477,520,296,6,0.7675134719014627,0.6170763260025873,0.9875776397515528,0.6372549019607843,0.7595541401273885
22,3,476,523,292,7,0.7696456086286595,0.6197916666666666,0.9855072463768116,0.6417177914110429,0.7609912070343725
22,4,8,287,529,475,0.2270977675134719,0.0148975791433892,0.016563146997929608,0.35171568627450983,0.01568627450980392
22,5,8,294,522,475,0.23248652809853734,0.01509433962264151,0.016563146997929608,0.3602941176470588,0.01579466929911155
22,6,474,523,293,9,0.7675134719014627,0.6179921773142112,0.9813664596273292,0.6409313725490197,0.7583999999999999
22,7,477,533,283,6,0.7775211701308699,0.6276315789473684,0.9875776397515528,0.6531862745098039,0.7674979887369267
22,8,7,294,521,476,0.23189522342064714,0.013257575757575758,0.014492753623188406,0.36073619631901843,0.013847675568743818
22,9,474,508,308,9,0.7559661277906081,0.6061381074168798,0.9813664596273292,0.6225490196078431,0.7494071146245059
23,1,10,299,516,472,0.2382420971472629,0.019011406844106463,0.02074688796680498,0.36687116564417177,0.01984126984126984
23,2,478,514,302,5,0.7636643571978445,0.6128205128205129,0.989648033126294,0.6299019607843137,0.7569279493269992
23,3,7,297,519,476,0.2340261739799846,0.013307984790874524,0.014492753623188406,0.3639705882352941,0.013875123885034688
