n_mfcc,round,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
17,8,457,775,41,25,0.9491525423728814,0.9176706827309237,0.9481327800829875,0.9497549019607843,0.9326530612244897
17,9,276,684,132,206,0.7395993836671803,0.6764705882352942,0.5726141078838174,0.8382352941176471,0.6202247191011236
18,0,460,756,60,22,0.9368258859784283,0.8846153846153846,0.9543568464730291,0.9264705882352942,0.9181636726546906
18,1,370,738,78,112,0.8536209553158706,0.8258928571428571,0.7676348547717843,0.9044117647058824,0.7956989247311828
18,2,448,772,44,34,0.9399075500770416,0.9105691056910569,0.9294605809128631,0.946078431372549,0.9199178644763861
18,3,417,758,58,65,0.9052388289676425,0.8778947368421053,0.8651452282157677,0.928921568627451,0.8714733542319749
18,4,423,741,75,59,0.8967642526964561,0.8493975903614458,0.8775933609958506,0.9080882352941176,0.863265306122449
18,5,454,762,54,28,0.9368258859784283,0.8937007874015748,0.941908713692946,0.9338235294117647,0.9171717171717172
18,6,456,762,54,26,0.938366718027735,0.8941176470588236,0.946058091286307,0.9338235294117647,0.9193548387096774
18,7,458,750,66,24,0.9306625577812019,0.8740458015267175,0.950207468879668,0.9191176470588235,0.9105367793240556
18,8,301,689,127,181,0.7627118644067796,0.7032710280373832,0.6244813278008299,0.8443627450980392,0.6615384615384616
18,9,462,748,68,20,0.9322033898305084,0.8716981132075472,0.9585062240663901,0.9166666666666666,0.9130434782608696
19,0,445,746,70,37,0.9175654853620955,0.8640776699029126,0.9232365145228216,0.9142156862745098,0.8926780341023071
19,1,451,767,49,31,0.938366718027735,0.902,0.9356846473029046,0.9399509803921569,0.9185336048879837
19,2,456,759,57,26,0.9360554699537751,0.8888888888888888,0.946058091286307,0.9301470588235294,0.9165829145728642
19,3,450,769,47,32,0.9391371340523883,0.9054325955734407,0.9336099585062241,0.9424019607843137,0.9193054136874361
19,4,459,757,59,23,0.9368258859784283,0.8861003861003861,0.9522821576763485,0.9276960784313726,0.918
19,5,447,742,74,35,0.9160246533127889,0.8579654510556622,0.9273858921161826,0.9093137254901961,0.8913260219341975
19,6,334,731,85,148,0.8204930662557781,0.7971360381861575,0.6929460580912863,0.8958333333333334,0.7413984461709211
19,7,446,765,51,36,0.9329738058551618,0.89738430583501,0.9253112033195021,0.9375,0.9111338100102144
19,8,456,772,44,26,0.9460708782742681,0.912,0.946058091286307,0.946078431372549,0.9287169042769857
19,9,456,769,47,26,0.9437596302003082,0.9065606361829026,0.946058091286307,0.9424019607843137,0.9258883248730965
20,0,460,756,60,22,0.9368258859784283,0.8846153846153846,0.9543568464730291,0.9264705882352942,0.9181636726546906
20,1,454,760,56,28,0.9352850539291218,0.8901960784313725,0.941908713692946,0.9313725490196079,0.9153225806451613
20,2,451,767,49,31,0.938366718027735,0.902,0.9356846473029046,0.9399509803921569,0.9185336048879837
20,3,453,755,61,29,0.9306625577812019,0.8813229571984436,0.9398340248962656,0.9252450980392157,0.9096385542168675
20,4,371,743,73,111,0.8582434514637904,0.8355855855855856,0.7697095435684648,0.9105392156862745,0.8012958963282937
20,5,463,762,54,19,0.9437596302003082,0.8955512572533849,0.9605809128630706,0.9338235294117647,0.9269269269269269
